Index	Smiles	Score	Uncertainty
26	N#CCNC(=O)[C@H](CS(=O)(=O)Cc1ccccc1OC(F)F)OC(=O)N1CCOCC1	0.905	0.180
27	NC(N)=NC[C@H](OC(=O)c1cccnc1)c1ccc(B2OC[C@@H](CO)O2)cc1	0.564	0.260
28	NC[C@H](O)c1cccc(C(F)(F)F)c1	0.631	0.223
29	O[C@H](CCCl)c1ccccc1	0.325	0.106
30	O=P(O)(O)[C@@H](CCCc1cccc(Oc2ccccc2)c1)S(=O)(=O)O	0.859	0.169
31	COc1ccc(S(=O)(=O)N2CCc3cc(O)c(OC)cc3[C@@H]2C(=O)NO)cc1	0.730	0.244
32	CCCCCCP(=O)(O)O[C@@H]1C[C@H](C)CC[C@H]1C(C)C	0.602	0.245
33	O[C@H]1C=Cc2ccccc2[C@H]1O	0.564	0.163
34	COc1ccc(S(=O)(=O)C[C@@H]2CCCC[C@H]2C(=O)NCCN)cc1	0.674	0.263
35	CS[C@@H]1[C@@H](NCc2ccccc2)[C@@H](O)[C@@H](O)[C@H]1O	0.838	0.207
36	O=C(CO)COP(=O)(O)OC1[C@H](O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H](O)[C@H]1O	0.906	0.213
37	O=C(O)[C@@H]1CCCC[C@@H]1c1n[nH]c(=S)[nH]1	0.293	0.188
38	[NH3+][C@@H]1C[C@H]1c1ccccc1	0.463	0.119
39	CC1(C)[C@H](/C=C/C=C2C[C@@H](O)C[C@H](O)C2)CC[C@]1(C)CCC#CC(O)(C(F)(F)F)C(F)(F)F	0.920	0.173
40	O=C(O)[C@@H]1C[C@]2(C(=O)O)C=C[C@@H](O)[C@@H](C2)O1	0.208	0.191
41	C/C=C(/C=O)[C@@H]1NC(C(=O)O)=C2[C@@H](OC)CCC[C@@H]21	0.465	0.246
42	O[C@@H]1Cc2c(ccc3ccc4ccccc4c23)[C@@H](O)[C@@H]1O	0.729	0.215
43	N[C@H](COc1cncc2nc(-c3ccncc3)ccc12)Cc1c[nH]c2ccccc12	0.921	0.174
44	CC(=O)O[C@H](C(=O)Nc1cccc2c1C(=O)C(=O)NC2=O)c1cccc(Cl)c1	0.859	0.213
45	CC[C@@H](COc1ccccc1)O[P@@](C)(=O)Cl	0.147	0.129
46	N[C@@H](O)Cc1c[nH]c2ccccc12	0.534	0.183
47	CC[C@@H](C)c1ccc2cc3c(c(O)c2c1O)C(=O)C[C@H]([C@H](OC)C(=O)[C@@H](O)[C@@H](C)O)C3	0.894	0.212
48	N[C@H](C(=O)N1CC(c2cc(F)ccc2F)=C[C@H]1c1ccccc1)C1CC1	0.880	0.177
49	COc1ccc(-c2ccc(S(=O)(=O)N[C@H](C(C)C)P(=O)(O)O)cc2)cc1	0.622	0.261
50	N[C@H](COc1cncc(/C=C/c2ccncc2)c1)Cc1c[nH]c2ccccc12	0.913	0.171
51	C#C[C@H]1CC[C@@H](CN)N1C(=O)[C@@H](N)C1CCCC1	0.682	0.300
52	CC#C[C@H]1CC[C@@H](CN)N1C(=O)[C@@H](N)C1CCCC1	0.837	0.235
53	CC(=O)O[C@H](C(=O)Nc1cccc2c1C(=O)C(=O)NC2=O)c1ccccc1	0.844	0.205
54	CCCCCCCC(=O)O[C@H](COC(=O)CCCC)CO[P@@](=O)([O-])OC[C@@H](O)CO	0.554	0.281
55	CCCCCCP(=O)(O)O[C@H]1C[C@@H](C)CC[C@@H]1C(C)C	0.473	0.233
56	O=C(O)[C@H]1C[C@H]1C(=O)Nc1cc(F)ccc1F	0.643	0.183
57	CCCCCCCCNC(=S)N1[C@H]2CO[C@@H]1[C@H](O)[C@@H](O)[C@@H]2O	0.127	0.129
58	O[C@H]1[C@H]2CC[C@](O)(N2)[C@@H](O)[C@@H]1O	0.062	0.059
59	N[C@H]1C[C@@H](N2CCn3c(nnc3C(F)(F)F)C2)CC[C@@H]1c1cc(F)c(F)cc1F	0.778	0.262
60	O=S(=O)(O)O/N=C(/Cc1ccccc1)S[C@@H]1C[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O	0.836	0.239
61	CCCCCCCCN[C@@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O	0.326	0.209
62	O=C(O)CCCNC(=O)c1ccc([C@H]2CC[C@H](c3ccccc3)C[C@@H]2O)cc1	0.647	0.240
63	COc1ccc(OC(C)(C)C(=O)N[C@H]2[C@H]3C[C@H]4C[C@@H]2C[C@](C(N)=O)(C4)C3)cc1	0.840	0.252
64	O=C(O)[C@H]1C[C@@]12C[C@@H](c1ccc(OCc3cc(-c4ccccc4)nc4ccccc34)cc1)NC2=O	0.888	0.185
65	C[C@H]1CC[C@@H]2C(C(=O)O)=C[C@H]3CC(C)(C)C[C@@]123	0.717	0.231
66	CCCCO[C@@H]1CCC[C@@H]2C1=C(C(=O)O)N[C@@H]2[C@H](C=O)CC	0.490	0.275
67	N[C@H]1[C@H]2CC[C@@H]1c1c2cccc1C(F)(F)F	0.938	0.114
68	O=C(O)[C@]1(O)C=C(c2cccc(Sc3ccccc3)c2)[C@@H](O)[C@H](O)C1	0.639	0.225
69	O=C(NCc1ccc(-c2ccccc2)cc1)[C@@H]1O[C@H]2CN(C(=O)NO)C[C@@H]1O2	0.216	0.193
70	C[C@H]1C=CC2=CCC[C@H](O)[C@@H]2[C@H]1CC[C@H]1C[C@@H](O)CC(=O)O1	0.521	0.277
71	CCCC(=O)/C(O)=C/OP(=O)(O)O	0.627	0.257
72	C=C(C=N)CCc1ccc(F)cc1	0.122	0.079
73	COc1cc(O)c2c(c1)[C@H]1O[C@@H]1C[C@H](O)[C@H](O)C(=O)C=CC[C@H](C)OC2=O	0.948	0.108
74	CCCCOc1ccc(S(=O)(=O)N2C[C@@H](NS(C)(=O)=O)C[C@@H]2C(=O)NO)cc1	0.279	0.208
75	CC1=C(/C=C/C(C)=C/C=C/C(C)=C\C=C\C=C(C)/C=C/C=C(\C)CO)C(C)(C)C[C@H](O)C1	0.953	0.091
76	CC1(C)[C@@H]2CC[C@@]1(C)NC2	0.311	0.166
77	C[C@@H](O)[C@H](N)c1nccs1	0.534	0.182
78	O=P(O)(O)O[C@@H]1[C@@H](OP(=O)(O)O)[C@@H](O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@H]1O	0.928	0.188
79	O=P(O)(O)O[C@H]1[C@@H](O)[C@@H](OP(=O)(O)O)[C@H](O)[C@@H](O)[C@@H]1OP(=O)(O)O	0.849	0.247
80	CCCCCCCCCCCC[P+](C)(C)CC(P(=O)(O)O)P(=O)(O)O	0.599	0.269
81	Cc1cccc(C)c1OCC(=O)O	0.125	0.100
82	CC(=O)c1ccc(C)cc1N[C@H](C(N)=O)c1c(Br)cccc1Br	0.503	0.188
83	Nc1ncc(C(=O)c2cccc(Br)c2)o1	0.765	0.222
84	N[C@@]1(C(=O)c2ccccc2)[C@H](c2ccccc2)[C@H]2CC[C@@H]1C2	0.890	0.175
85	Nc1ccc(CC(=O)OCCBr)c(C=O)c1	0.272	0.172
86	CCCc1cc(CC(=O)O)c2[nH]c(CC(N)=O)cc2c1	0.322	0.199
87	O=C(O)COc1cc(Cl)ccc1C(=O)NCc1ccc(Br)cc1F	0.733	0.185
88	N#Cc1ccc2cc1Oc1ccc3cccc(c3c1)N1CC[C@@H](NCc3cncn3C2)C1=O	0.963	0.110
89	N#C[C@H]1CC=C2CC1Oc1ccc3cccc(c3c1)N1CC[C@H](NCCc3cncn3C2)C1=O	0.964	0.103
90	CC1(C)COC(=O)CCCCCCCCCCCOC(=O)[C@@H]2CCCCN2C(=O)C1=O	0.788	0.299
91	COc1cc(O)c(C(=O)/C=C/c2ccc(O)cc2)cc1CC=C(C)C	0.927	0.127
92	O=C(O)CC/C(=N\OC[C@H](NC(=O)COc1ccccc1)C(=O)O)C(=O)O	0.649	0.257
93	O=C(/C=C/c1ccc(Cl)cc1Cl)NO	0.250	0.132
94	CCCCCCC#Cc1ccccc1/C=C/C(=O)O	0.699	0.180
95	N=C(Cc1ccc(O)c(O)c1)C(=O)O	0.801	0.184
96	O=C(/C=C/c1ccc(O)c(O)c1)NCCc1ccc(O)cc1	0.876	0.227
97	COc1ccc(/C=C/C(=O)O)cc1O	0.482	0.151
98	O=C(/C=C/c1ccc(Cl)cc1)NO	0.146	0.105
99	CCc1c(C)[nH]c(=O)c(I)c1Oc1cccc(/C=C/C#N)c1	0.633	0.209
